Country,Value
Andhra Pradesh,162968
Arunachal Pradesh,83743
Assam,78438
Bihar,94163
Chhattisgarh,135192
Delhi,1483
Goa,3702
Gujarat,196244
Haryana,44212
Himachal Pradesh,55673
Jammu & Kashmir,222236
Jharkhand,79716
Karnataka,191791
Kerala,38852
Madhya Pradesh,308252
Maharashtra,307713
Manipur,22327
Meghalaya,22429
Mizoram,21081
Nagaland,16579
Odisha,155707
Punjab,50362
Rajasthan,342239
Sikkim,7096
Tamil Nadu,130060
Telangana,112077
Tripura,10486
Uttar Pradesh,240928
Uttarakhand,53483
West Bengal,88752
A & N Islands,8249
Chandigarh,114
Dadra & Nagar Haveli,491
Daman & Diu,111
Lakshadweep,30
Puducherry,490
Grand Total,3287469
